sales_id,name,prices,item_sold
72,2024 Portable Mini Laptops Metal Small Notebooks Windows 11 7 Inch Touch Screen office N4000 12GB+1TB IPS Netbook Micro Computer ,541247.21,13
73,Lenovo New Portable 2TB SSD 4TB 16TB External Hard Drive Type-C USB 3.0 High Speed 8TB External Storage Hard Disks For Laptops ,21423.0432454.18,"2,000+"
74,ASUS ROG Flow Z13 Gaming Laptop Intel Core i9 12900H 16G RAM 1T SSD RTX3050Ti 4GB 4K Screen 13.4Inch E-sports Notebook Computer ,3705213.59,1
75,HUAWEI MateBook 14 Laptop AMD Ryzen R5-5500U/R7-5700U 16GB 512GB SSD Notebook 14-inch 2K Touch-screen Ultrbook PC Computer ,1369456.03,3
76,Xiaomi Redmi G Pro GameBook Laptop 2024 Intel Core i7-14650HX/i9-14900HX RTX4060 16G+1TB Notebook 16inch 240Hz Gaming Computer ,2339180.69,2
77,"MOKiN 14 in 1 Docking Station for MacBook Air/Pro, iPad, Thunderbolt Laptop - USB-C 3.0, HDMI 4K30Hz, PD 100W, RJ45 1Gbps, Audio ",85605.7694175.14,365
78,Teclast F6s 13.3 Inch Notebook PC 1920*1080 Ips Laptop Intel Apollo Lake N3350 Windows10 Quad Core LPDDR4 8GB RAM 128GB SSD ,678603.79,
79,14'' Office Laptop HP 14S Intel N4500/i5-1135G7/i7-1260P/Ryzen5-5625U/R7-5700U Protable Computer Window 11 system.  ,2593973.76,
80,"Authentic Alienwares Area 51m Laptop, 17.3 9th Gen Intel Core I9-9900K, 32GB RAM, 2 X 256GB SSD (R0) + 1tb Sshd ",655587.09,
81,Legion R9000K Gaming Laptop 16 Inch Notebook ,1950347.7,
82,Ongoing sales A SUS ZenBook Pro Duo UX581 Laptop 15.6 4K UHD NanoEdge Touch Display Intel Core i9-10980HK 32GB RAM 1TB SSD ,835863.3,
83,XIAOMI MIJIA Portable SSD 2TB External Hard Drive Hard Disk High Speed SSD Large Capacity Storage Devices for Laptop/Desktop/MAC ,4546.4123924.78,36
84,"ROG Strix G18 NVIDIA RTX 4090, 32GB, 18.0 WQXGA 240Hz, Intel i9-13980HX Gaming Laptop ",1671726.6,
85,BEST SALES ORIGINAL New Zenbook PRO DUO Dual screen i9-13900H RTX4050 2.8K 120Hz 18inch High refresh rate Gaming laptop ,643999.24,
86,ORIGINAL Razer Blade 16 Intel i9 Gaming Laptop ,696552.75,
87,Lenovo 2023 Portable Disco Duro Externo USB 3.1 Type-C M.2 SSD External Hard Drive 500GB Flash Drive 8TB Hard Disks for Laptops ,5015.655228.73,"1,000+"
88,ORIGINAL Acer Predator Helios Neo 16 PHN16-71 16-inch Gaming Laptop ,696552.75,
89,"New Authentic A SUS ROG Zephyrus Duo 16 Dual Screen Laptop, 16  9 7945HX, 16GB RTX 4090, Gaming Laptop ",640828.53,
90,"HUAWEI MateBook 16s Laptop 2022 i5-12500H/i7-12700H/i9-12900H Intel Xe 16GB 512GB/1TB 16"" 2.5K Touch Screen NoteBook PC Computer ",2034161.8,
91,Xiaomi laptop RedmiBook 16 2024 Intel Core i5-13500H/12450H 16G DDR5 512G/1TB SSD 16“ 1K/2.5K 120Hz Computer Notebook PC ,1253104.721440350.25,5
92,CRELANDER Gaming Laptop 16.1 Inch Intel Core i9 10th Generation Nvidia Graphic GTX 1650 IPS Screen 144Hz Gamer Laptops Notebook ,1799731.82950380,
93,DDR4 Memoria RAM Laptop 16GB 8GB 32GB 1.2V 260pin 3200MHz 2666MHz 2400MHz PC4 Notebook Sodimm Memory ,54090.3,600+
94,YSJMNPC 8 inch Mini Laptop Touchscreen Rotating 360 Degree Intel Alder N100 LPDDR5 12GB Windows11 AX WiFi6 Notebook Tablet PC ,614170.77631758.31,
95,2023 HUAWEI MateBook 14s Laptop i5-13500H/i7-13700H/i7-13900H 16GB/32GB 512GB Netbook 14.2-inch 2.5K 120Hz TouchScreen SSD WiFi6 ,2255867.813957662.82,5
96,GPD WIN Mini AMD 7640U/7840U 16GB 32GB 64GB RAM 512GB 1TB 2TB SSD 7-inch WIN11 System Pocket Mini PC Laptop Game Player Console ,1129675.571686082.94,14
97,Hagibis Vertical Stand for Mac Mini Aluminum Alloy Laptop Desktop Stand Anti-Slip Adjustable Computer Holder for Apple MAC Mini ,44944.1370235.44,25
98,GPD Pocket 3 Mini Laptop 8-inch Intel Core i7 1195G7 16GB/1TB Pentium N6000 8GB/512GB Modular Full-Featured Pocket Mini Laptop ,1166607.281741204.89,15
99,"2024 New HONOR Laptop MagicBook X14 Pro 2024 14""Inch FHD Intel Core i5-13500H AMD Ryzen R5 7640HS Computer PC Notebook Ultrabook ",878869.031112489.95,7
100,"CRELANDER 16"" Dual Touch Screen Laptop Intel i5i7 12th Gen 12 Cores  IPS Screen 32GB RAM M2 SSD Windows 11 Intel Laptop Computer ",1069250.491595893.32,14
101,"OnexPlayer Onexfly AMD Ryzen 7 8840U Laptop PC Game Console 3 IN 1 Video Tablet WIN11 Game Computer 7"" 120Hz Screen 32G 1TB 2TB ",1296724.79,52
102,CHUWI CoreBook X Gaming Laptop 14.1 inch FHD IPS Screen 16GB RAM 512GB SSD Intel Six Cores i3-1215U Core UP to 3.70 Ghz Notebook ,680488.75,11
103,CABLETIME HDMI to DP Cable Adapter 4K 60Hz DisplayPort Converter Video Audio for XBox TV Monitor Projector Switch PS4/5 Laptop ,28012.2229979.14,
104,Laptop 15.6+7inch Intel N100 32GB DDR4 2TB SSD Backlit Keypad 1920*1080 Screen HD Camera Fingerprint Unlock Office Ultrabook ,625972.291304117.13,
105,Intel N95 NVIDIA Mx330 2G 15.6inch Gaming Laptop 32GB DDR4 2TB SSD HDMI Win11 HD Camera Fingerprint Unlock Lightweight Computer ,605024.591260484.29,
106,"GPD WIN Max 2 10.1-inch Pocket Gaming PC Laptop AMD 7640U Processor Windows 11, 16GB RAM, 1TB SSD Mini Laptop ",1365541.92038122.24,1
107,For HP omen 17-AN 17t-an 17-AN013TX TPN-Q195 Laptop LCD Back Cover/Front Frame/Palm Rest Keyboard/Bottom Cover/Hinge/Air Outlet ,59615.0776429.58,3
108,[updated version] GPD WIN Mini AMD 8840U 7Inch Handheld GamePad Tablet WIN11 Systerm Pocket Mini PC Laptop Game Player Console ,1522723.9,5
109,15.6 inch core i3 i5 i7 i9 Refurbished Laptop Notebook 500GB ,850692.9,
110,For HP 15-DA 15-DB 15-DX 250 G7 TPN-C135 TPN-C136 LCD New Laptop Case Front Bezel Palm rest Back Shell Hinge Top Cover ,19758.221476.71,
111,Anti-Theft Office Notebook Laptop PC Computer Desk Key Security Lock Chain Cable Drop Shipping ,2212.78,1
112,15.6 Inch Slim Lcd For HP 15-db0108ns Laptop Led Screen Display Matrix 30 Pins Edp 1366x768 NT156WHM N42 ,41688.86,
113,Portable SSD 1TB 2TB High Speed External Hard Drive USB3.1 Type-C Interface Hard Disk Solid State Drive Mass Storage for Laptop ,13697.1114855.13,"1,000+"
114,PC Laptop Cable Lock & Security Computer Lock Metal Locks for 6x2.5mm Hole Computer Lock Anti Theft Chain Security Lock ,13407.8413948.74,4
115,Laptop Bag USB Backpack for Macbook Air Pro Lenovo Asus HP Dell Large Capacity Travelling Waterproof Multi-pockets Laptop Cover ,23229.9623229.96,347
116,1.2m Laptop Lock Notebook Laptop Computer Lock Security Security China Cable Chain With Key Notebook Pc Laptop Anti-Theft Lock ,5720.46,2
117,"For HP Probebook 450 455 G10 455R G10 LCD Top CoverPalm RestBack Bottom Shell, US Backlit Keyboard, New Best Selling Laptop Case ",44074.39,2
118,CC06 Battery For Hp ProBook 6460b 6470b 6560b 6360b 6465b 6475b 6565b EliteBook 8460p 8470p 8560p 8460w 8470w laptop battery ,25138.3938675.69,
119,2024 New Ultra Thin Hard Shell Laptop Case For Macbook Pro 14 Case For Macbook Air 13 M1 M2 M3 Air 15.3 13.6 Cover Pro 13 Case ,14966.330541.72,"5,000+"
120,Digital Equipment Computer USB Port Lock Laptop Computer Office Lock Laptop Anti Theft Security Lock Password Lock P9JD ,17489.218538.22,6
121,Laptop Combination Security Lock Cable Chain Theft Deterrent 4 Digit Password For Notebook PC Laptop Theft Deterrent Lock Cable ,4828.965002.66,7
122,Backpack for ASUS ROG Strix G16 G17 G18 G614 G713 G814 SCAR 16 17 18 G634 G733 G834 laptop 15.6 16 17.3 inches ,43078.4946320.96,
123,Acasis Thunderbolt 4 Mobile Enclosure M.2 NVME SSD External Hard Driver PCIE Case For Macbook Laptop Desktop And Samsung 980 Pro ,98804.95,224
124,"2024 Portable  i7 Windows 11 Laptop Computer PC 14.1"" 1920*1080 Notebook 12GB RAM 1TB 2TB SSD Intel Core i7 7500U Gaming Laptops ",369094.67576712.16,48
125,Tablet Laptop Lock with Security Lock Base Laptop Tablet Anti-Theft Lock Hole Dropship ,6458.05,1
126,New Puffy Laptop Sleeve Cover Bag 11 12 13 14 15 Inch Candy Color Computer Carrying Case Bags for Ipad Macbook Asus HP Lenovo ,14537.8315167.8,446
127,Displayport Male to HDMI Female Adapter DP 1.4 to HDMI Converter 8K60Hz 4K120Hz Display Port Adaptor for Dell Lenovo Laptop ,30358.7656222.07,95
128,New laptop For ASUS K55V K55A K55VD A55V A55VD K55 K55VM R500V LCD Back Cover Top Case or Bottom Base Cover ,54909.85,2
129,Laptop Bag For Xiaomi Lenovo Dell Notebook Computer Laptop Sleeve For Macbook Air Pro Retina 13 14 15 15.6 Inch Laptops Case ,5556.5511756.26,"10,000+"
130,High Quality Notebook Laptop Computer Lock Security Security China Cable Chain With 2 Key Brand New ,5999.115999.11,89
131,Colorful Laser Laptop Sleeve Bag Notebook Computer PC Protective Cover For Macbook For Ipad Pro For  HP ASUS Dell ,12489.94,2
132,DC 12V 1 Lamp Backlight CCFL Inverter Universal For 8-17 inch Notebook Laptop LCD Screen Display Inverter with cable ,3261.81,21
133,SKNK DDR4 Memoria RAM Laptop 8GB 16GB 32GB 260pin 1.2V 3200MHz 2666MHz 2400MHz 2133MHZ PC4 25600 21300 Notebook Sodimm Memory ,42647.71,1
134,Laptop Case for Microsoft Surface Laptop 3/4/5 13.5 Model 1868 1951 2019 2021 2022 Transparent Heat Dissipation Protective Shell ,11457.312047.38,173
135,Portable Laptop Bags 6-15.6Inch Laptop Sleeve Bag Soft Notebook Case for Macbook Dell Pouch Skin Cover Travel Business Briefcase ,7603.5814621.21,346
136,15.6 Inch 17 In Laptop Bag Business Portable Nylon Computer Handbags Laptop Shoulder Handbag Zipper Shoulder Simple Style ,19700.339402.92,"1,000+"
137,New S150ADA IdeaPad 1-14ADA05 1-11ADA05 Laptop motherboard Model Multiple CPU 3020E 3050E SN 19877-1 FRU 5B20Z2302 5B20Z26469 ,69120.8569120.85,
138,"Laptop protective case suitable for MacBook Air 13 inch Case M3 A3113 M2 A2681, Hardshell Case  for Mac Air 13.6, Crystal Clear ",15570.7933128.75,199
139,Handbag Laptop Bag 13 14 15 15.6 Inch For Xiaomi MacBook Air ASUS laptop bag Case Cover Notebook Accessory Women Men Briefcase ,19121.2939838.34,"1,000+"
140,Laptop Case For Apple MacBook Air 15.3 A2941 M2 Chip Macbook Pro 16 A2485 With Touch Bar Air 13.3 A2337 A2338 A1932 Crystal case ,14883.0315194.46,39
141,2024 Case For Lenovo Yoga 7 2-in-1 14AHP9 14IML9  Laptop Sleeve Detachable Notebook Cover Bag Skin Shell Gift ,51555.2373650.33,24
142,Laptop Bags For Men Notebook Case Sleeve 13.3 14 15 6 Inch For Macbook Pro Shockproof Shoulder Briefcase Fashion Women Bags New ,26838.36,24
143,14.1'' Laptop Computer Windows 11 Intel Core i9 8950HK 16GB DDR4 1TB 2TB SSD Laptops Office Study Gaming Notebook PC Computer ,573221.881042221.6,51
144,Cute Laptop Handbag Shockproof 11 13 14 15 Inch Notebook Pouch Large Capacity Breathable for Ipad/Macbook/Xiaomi/Lenovo ,16669.6517308.9,35
145,"Soft Sleeve Case For Microsoft Surface Pro 7 12.3"" Pro 4 3 5 Pro 6 X Waterproof Pouch Bag Cover Surface Laptop 12.3 inch Case ",13096.41,10
146,Crystal Case for Macbook Air 15.3 A2941 Pro 14.2 A2442 A2779 Laptop Cover for MacBook Air 13.6 A2681 M2 Chip Pro 13 A2338 A2337 ,17127.1831032.73,221
147,Laptop Charger Protective Case Silicone Laptop Sleeves Anti-fall Scratch Resistance Case for MacBook Power Adapter Air Pro 13 ,5802.419506.78,15
148,Laptop Sleeve Bag Case For Macbook Air Pro 13 14 M1 PU Leather Holder Laptop Bag for 13 13.3 14 15.6 17 inch Notebook Pouch ,29406.8745948.08,31
149,Large Capacity Laptop Bag Shockproof Protective Laptop Case 15.6 17 inch Strap Carrying for Lenovo/HP/Dell/Asus/Samsung ,19776.7437316.17,49
150,Laptop Bag For Xiaomi Lenovo Dell Notebook Computer Laptop Sleeve For Macbook Air Pro Retina 13 14 15 15.6 Inch Laptops Case ,5966.1413257.06,221
151,Fashion Colorful Laptop Notebook Case Tablet Sleeve Shockproof Ultra Thin Cover Bag 11 13 15 inch For Xiaomi Lenovo HP Dell Asus ,6490.84,56
152,Protective Laptop Sleeve Case for 13.3 14 15.6 16 Inch New MacBook Pro M3 Max M2 M1 Slim Carrying Laptop Bag Men Women ,15719.0133443.73,315
153,Laptop Bag Notebook Shoulder Bag For Macbook Air Pro Waterproof 14 15.6 Inch Computer Sleeve Pouch Handbag For Student Business ,35354.4770711.26,218
154,for Microsoft Surface Laptop Go 2 1 Case for Laptop 13.5 A1950 A1951 COVER for Laptop Go 2 12.4 Inch Case ,15885.7829971.98,157
155,"15.6"" Ultrabook CPU Intel 4 core 12GB RAM 512GB SSD Fast 128G/256/320GB Backlit Arabic HebrewAZERTY Spanish Russian Keyboard ",1009685.6,
156,Laptop Bottom Case Screw For Macbook Air A1369 A1370 A1465 A1466 Mc503 Mc504 ,2491.432491.43,90
157,New TPU Soft Laptop Case For Macbook Air 13 M1 M2 Case For Macbook Pro 14 Case Chip Air 13.6 Cover for Macbook Pro 13 Cover ,13449.2927449.8,314
158,Laptop Bag Computer Laptop Sleeve 11 13 Inch Office Notebook Sleeve Handbag Waterproof For Xiaomi Hp Dell Lenovo ,19800.3320832.96,54
159,2023 Sleeve Laptop Bag For iPad Air 2 1 2019 Pro 11 12.9 XiaoMi Pad 5 10 Cover 2017 Sleeve Case 13 Inch Macbook Shockproof Pouch ,15751.7516620.47,41
160,"Laptop Case for Apple MacBook Air 13/11/Macbook Pro 13/15/16/Macbook White A1342/Macbook 12"" (A1534) Transparent Hard Shell ",12506.3312784.98,87
161,4 Digital Universal Lock USB Laptop Security Cable Lock For Computer ,13752.0513752.05,15
162,New For DELL Latitude 5480 E5480 E5490 5490 5491 5495 Laptop LCD Back Cover Front Bezel Palmrest Bottom Base Top Case Hinges ,70743.68107186.7,4
163,Anti-Scratch Felt Protector Bag Laptop Bag Tablet Protection Case Pouch Light Sleeve For 11 13 15 Inch iPad Pro Kindle Macbook ,810.61,57
